Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 6_level_0,Unnamed: 7_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,290,5504,1032.0,5.3,26,10,300,376.0,629,4084,24,16,6.2,200.0,376,1420,4,3.8,72.0,108.0,939.0,28.0,188.0,31.4,12.8,Own 26.0,2:31,5.67,29.0,1.54
Opp. Stats,443,5672,995.0,5.7,19,8,304,347.0,526,3775,28,11,6.9,180.0,444,1897,18,4.3,95.0,101.0,925.0,29.0,187.0,41.2,9.1,Own 31.3,2:37,5.5,30.3,2.22
Lg Rank Offense,26,18,,,17,17,21,,5,8,13,18,16.0,,28,28,31,27.0,,,,,,20.0,14.0,24,22,16.0,19.0,23.0
Lg Rank Defense,28,18,,,26,22,11,,7,20,23,23,26.0,,21,18,28,20.0,,,,,,1.0,26.0,31,17,10.0,19.0,32.0
