Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,218.0,83.0,38.1%,13.0,6.0,46.2%,56.0,32.0,57.1%
Opp. Stats,198.0,78.0,39.4%,15.0,4.0,26.7%,57.0,33.0,57.9%
Lg Rank Offense,,,17,,,19,,,14
Lg Rank Defense,,,16,,,4,,,24
