Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,217.0,106.0,48.8%,11.0,5.0,45.5%,61.0,31.0,50.8%
Opp. Stats,203.0,70.0,34.5%,23.0,15.0,65.2%,45.0,20.0,44.4%
Lg Rank Offense,,,1,,,18,,,20
Lg Rank Defense,,,5,,,27,,,6
