Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Patrick Mahomes,27.0,QB,3,3,3-0-0,72,100,72.0,703,7,7.0,0,0.0,40,57.3,29,7.0,8.43,9.8,234.3,114.7,3,11,2.91,6.72,8.08,1,2,SB MVP
2.0,Chad Henne,37.0,QB,1,0,,5,7,71.4,23,1,14.3,0,0.0,3,71.4,8,3.3,6.14,4.6,23.0,114.9,0,0,0.0,3.29,6.14,0,0,
,Team Totals,,,3,3,3-0-0,77,107,72.0,715,8,7.5,0,0.0,43,58.2,29,7.6,8.28,9.4,238.3,105.4,3,11,2.73,6.85,7.72,1,2,
