Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Joey Harrington,24.0,QB,14,12,3-9-0,215,429,50.1,2294,12,2.8,16,3.7,111,36.4,64.0,5.3,4.23,10.7,163.9,59.9,8,75,1.83,5.08,3.98,2,2,
2.0,Mike McMahon,23.0,QB,8,4,0-4-0,62,147,42.2,874,7,4.8,9,6.1,40,31.4,49.0,5.9,4.14,14.1,109.3,52.4,12,99,7.55,4.87,3.21,0,0,
3.0,James Stewart,31.0,RB,14,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,0,0,
,Team Totals,,,16,16,3-13-0,277,577,48.0,2994,19,3.3,25,4.3,151,35.0,64.0,5.5,4.2,11.4,187.1,57.9,20,174,3.35,5.02,3.77,2,2,
