Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,215.0,89.0,41.4%,14.0,9.0,64.3%,45.0,24.0,53.3%
Opp. Stats,201.0,70.0,34.8%,15.0,6.0,40.0%,40.0,22.0,55.0%
Lg Rank Offense,,,7,,,5,,,8
Lg Rank Defense,,,8,,,11,,,27
