Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,220.0,90.0,40.9%,25.0,8.0,32.0%,50.0,28.0,56.0%
Opp. Stats,204.0,100.0,49.0%,15.0,6.0,40.0%,62.0,40.0,64.5%
Lg Rank Offense,,,13,,,31,,,13
Lg Rank Defense,,,32,,,6,,,28
