Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Drew Brees,30.0,QB,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,210,53.9,75,8.5,8.9,12.1,292.5,109.6,82.0,20,135,3.75,7.96,8.31,2,4,"PB,AP-2,AP MVP-2,AP OPoY-2"
2.0,Mark Brunell,39.0,QB,16,1,0-1-0,15,30,50.0,102,0,0.0,1,3.3,5,30.0,18,3.4,1.9,6.8,6.4,44.0,9.5,0,0,0.0,3.4,1.9,0,0,
,Team Totals,,,16,16,13-3-0,378,544,69.5,4355,34,6.3,12,2.2,215,52.7,75,8.3,8.51,11.9,272.2,106.0,,20,135,3.55,7.72,7.97,2,4,
