Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Jake Plummer,31.0,QB,2,2,1-1-0,33,56,58.9,420,2,3.6,3,5.4,17,41.0,42,7.5,5.8,12.7,210.0,72.0,5,19,8.2,6.57,5.02,0,0,
,Team Totals,,,2,2,1-1-0,33,56,58.9,401,2,3.6,3,5.4,17,41.0,42,7.4,5.8,12.7,200.5,66.4,5,19,8.2,6.39,4.27,0,0,
