Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Donovan McNabb,32.0,QB,16,16,9-6-1,345,571,60.4,3916,23,4.0,11,1.9,195,46.8,90.0,6.9,6.8,11.4,244.8,86.4,54.9,23,149,3.87,6.34,6.28,2,1,
2.0,Kevin Kolb,24.0,QB,6,0,,17,34,50.0,144,0,0.0,4,11.8,8,41.2,16.0,4.2,-1.06,8.5,24.0,21.8,4.7,0,0,0.0,4.24,-1.06,0,0,
3.0,DeSean Jackson,22.0,WR,16,15,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.0,,0.0,0.0,44.0,0,0,0.0,0.0,-45.0,0,0,
,Team Totals,,,16,16,9-6-1,362,606,59.7,3911,23,3.8,16,2.6,203,46.4,90.0,6.7,6.27,11.2,244.4,81.4,,23,149,3.66,6.22,5.8,2,1,
