Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,200.0,79.0,39.5%,14.0,7.0,50.0%,60.0,38.0,63.3%
Opp. Stats,185.0,71.0,38.4%,12.0,7.0,58.3%,52.0,32.0,61.5%
Lg Rank Offense,,,16,,,13,,,9
Lg Rank Defense,,,16,,,24,,,26
