Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Mason Rudolph,28.0,QB,1,1,0-1-0,22,39,56.4,229,2,5.1,1,2.6,14,50.0,33,5.9,5.74,10.4,229.0,80.0,1,11,2.5,5.45,5.33,0,0,
,Team Totals,,,1,1,0-1-0,22,39,56.4,218,2,5.1,1,2.6,14,50.0,33,5.9,5.74,10.4,218.0,80.0,1,11,2.5,5.45,5.33,0,0,
