Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,243.0,95.0,39.1%,19.0,11.0,57.9%,42.0,16.0,38.1%
Opp. Stats,219.0,79.0,36.1%,12.0,4.0,33.3%,42.0,19.0,45.2%
Lg Rank Offense,,,16,,,9,,,28
Lg Rank Defense,,,10,,,5,,,5
