Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Joe Burrow,25.0,QB,4,4,3-1-0,97,142,68.3,1105,5,3.5,2,1.4,48,44.7,75,7.8,7.85,11.4,276.3,97.3,19,137,11.8,6.01,6.07,0,2,
2.0,Joe Mixon,25.0,RB,1,1,,1,1,100.0,6,1,100.0,0,0.0,1,100.0,6,6.0,26.0,6.0,6.0,131.2,0,0,0.0,6.0,26.0,0,0,
,Team Totals,,,4,4,3-1-0,98,143,68.5,974,6,4.2,2,1.4,49,45.1,75,6.6,7.98,11.3,243.5,86.5,19,137,11.73,6.23,6.1,0,2,
