Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Blake Bortles,25.0,QB,16,16,10-6-0,315,523,60.2,3687,21,4.0,13,2.5,195,45.2,75.0,7.0,6.73,11.7,230.4,84.7,59.3,24,123,4.39,6.52,6.21,1,1,
2.0,Brad Nortman,28.0,P,16,0,,1,1,100.0,29,0,0.0,0,0.0,1,100.0,29.0,29.0,29.0,29.0,1.8,118.7,,0,0,0.0,29.0,29.0,0,0,
3.0,Chad Henne,32.0,QB,2,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.0,,0.0,39.6,3.6,0,0,0.0,0.0,0.0,0,0,
4.0,Marqise Lee,26.0,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.0,,0.0,39.6,7.1,0,0,0.0,0.0,0.0,0,0,
,Team Totals,,,16,16,10-6-0,316,527,60.0,3593,21,4.0,13,2.5,196,45.0,75.0,7.1,6.74,11.8,224.6,84.4,,24,123,4.36,6.52,6.22,1,1,
