Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 6_level_0,Unnamed: 7_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,396,5710,1187.0,4.8,37,14,325,355.0,624,3693,24,23,5.5,173.0,518,2017,15,3.9,121.0,115.0,897.0,31.0,222.0,32.9,16.2,Own 29.7,2:28,5.5,25.6,1.69
Opp. Stats,362,4593,1004.0,4.6,28,10,254,307.0,535,2800,23,18,4.8,136.0,420,1793,15,4.3,88.0,118.0,923.0,30.0,222.0,24.8,11.7,Own 29.9,2:07,4.6,20.7,1.43
Lg Rank Offense,10,16,,,32,29,18,,5,19,16,32,24.0,,4,12,14,26.0,,,,,,23.0,2.0,10,30,28.0,28.0,23.0
Lg Rank Defense,13,1,,,5,13,1,,6,1,17,3,2.0,,7,11,17,19.0,,,,,,32.0,17.0,25,1,1.0,1.0,2.0
