Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,213.0,74.0,34.7%,41.0,21.0,51.2%,45.0,21.0,46.7%
Opp. Stats,204.0,92.0,45.1%,14.0,9.0,64.3%,60.0,42.0,70.0%
Lg Rank Offense,,,31,,,19,,,31
Lg Rank Defense,,,29,,,29,,,31
