Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Dak Prescott,23.0,QB,16,16,13-3-0,311,459,67.8,3667,23,5.0,4,0.9,185,52.3,83.0,8.0,8.6,11.8,229.2,104.9,77.6,25,143,5.17,7.28,7.86,5,5,"PB,AP MVP-6,AP ORoY-1"
2.0,Mark Sanchez,30.0,QB,2,0,,10,18,55.6,93,0,0.0,2,11.1,5,28.6,33.0,5.2,0.17,9.3,46.5,30.3,4.2,3,25,14.29,3.24,-1.05,0,0,
3.0,Tony Romo,36.0,QB,1,0,,3,4,75.0,29,1,25.0,0,0.0,3,75.0,15.0,7.3,12.25,9.7,29.0,134.4,99.0,0,0,0.0,7.25,12.25,0,0,
4.0,Dez Bryant,28.0,WR,13,13,,1,1,100.0,10,1,100.0,0,0.0,1,100.0,10.0,10.0,30.0,10.0,0.8,147.9,100.0,0,0,0.0,10.0,30.0,0,0,PB
5.0,Cole Beasley,27.0,WR,16,6,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.0,,0.0,39.6,0.4,0,0,0.0,0.0,0.0,0,0,
,Team Totals,,,16,16,13-3-0,325,483,67.3,3631,25,5.2,6,1.2,194,51.5,83.0,7.9,8.34,11.7,226.9,103.0,,28,168,5.48,7.11,7.56,5,5,
