season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,15:00,,,PIT 35,0,0,9-C.Boswell kicks 60 yards from PIT 35 to NE 5. 38-B.Bolden to NE 20 for 15 yards (98-V.Williams).,1.474,-0.473
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,14:56,1,10,NE 20,0,0,"(14:56) NE 12-Brady 4th player all-time to spend 20 years with one team (Jason Hanson (21, Lions), Darrell Green (20, Redskins) and Jackie Slater (20, Rams). 26-S.Michel left guard to NE 19 for -1 yards (91-S.Tuitt).",1.001,-0.907
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,14:17,2,11,NE 19,0,0,(14:17) 38-B.Bolden right end pushed ob at NE 26 for 7 yards (26-M.Barron).,0.094,0.433
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,13:43,3,4,NE 26,0,0,(13:43) (Shotgun) 28-J.White right end pushed ob at NE 35 for 9 yards (23-J.Haden).,0.527,1.585
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,13:14,1,10,NE 35,0,0,"(13:14) 26-S.Michel left tackle to NE 38 for 3 yards (22-S.Nelson, 94-T.Alualu).",2.112,-0.222
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,12:43,2,7,NE 38,0,0,"(12:43) 26-S.Michel right end to NE 35 for -3 yards (91-S.Tuitt, 34-Te.Edmunds).",1.890,-1.221
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,12:06,3,10,NE 35,0,0,(12:06) (Shotgun) 12-T.Brady pass incomplete deep middle to 11-J.Edelman.,0.670,-1.405
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,12:01,4,10,NE 35,0,0,"(12:01) 7-J.Bailey punts 53 yards to PIT 12, Center-49-J.Cardona, out of bounds.",-0.735,0.765
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,11:54,1,10,PIT 12,0,0,"(11:54) PIT 7-Roethlisberger 16th season, new franchise record. 30-J.Conner right guard to PIT 16 for 4 yards (54-D.Hightower).",-0.030,-0.141
2019,1,September 8,home,Pittsburgh Steelers,https://www.pro-football-reference.com/boxscores/201909080nwe.htm,1,11:16,2,6,PIT 16,0,0,"(11:16) (Shotgun) 7-B.Roethlisberger pass short right to 19-J.Smith-Schuster to PIT 23 for 7 yards (54-D.Hightower, 24-S.Gilmore).",-0.171,0.743
