season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa,play_type,two_point_attempt,passer,rusher,receiver,interceptor,sacker,punter,kicker,returner,blocker,tackler_1,tackler_2,forced_fumble_player,fumble_recovery_player,penalized_player
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,,,,,,,,"Dolphins won the coin toss, Dolphins to receive the opening kickoff.",,,other,,,,,,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,15:00,,,NWE 35,0,0,"Jason Staurovsky kicks off 58 yards, returned by Mark Higgs for 30 yards Penalty on NWE: Offside (declined) (tackle by Mosi Tatupu)",0.000,-1.400,kickoff,,,,,,,,Jason Staurovsky,Mark Higgs,,Mosi Tatupu,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,MIA 37,0,0,Sammie Smith for 15 yards (tackle by Fred Marion),1.400,2.390,run,,,Sammie Smith,,,,,,,,Fred Marion,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 48,0,0,Sammie Smith right for 7 yards (tackle by Vincent Brown),2.390,2.790,run,,,Sammie Smith,,,,,,,,Vincent Brown,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,3,NWE 41,0,0,Tony Paige right for 7 yards (tackle by Ronnie Lippett),2.790,3.310,run,,,Tony Paige,,,,,,,,Ronnie Lippett,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 34,0,0,Dan Marino pass complete to Tony Paige for 14 yards (tackle by Ronnie Lippett),3.310,4.240,pass,,Dan Marino,,Tony Paige,,,,,,,Ronnie Lippett,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 20,0,0,Sammie Smith middle for no gain (tackle by Johnny Rembert),4.240,3.690,run,,,Sammie Smith,,,,,,,,Johnny Rembert,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,10,NWE 20,0,0,Dan Marino pass complete to Fred Banks for 6 yards (tackle by Andre Tippett),3.690,3.890,pass,,Dan Marino,,Fred Banks,,,,,,,Andre Tippett,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,3,4,NWE 14,0,0,Dan Marino pass incomplete intended for Marc Logan,3.890,2.580,pass,,Dan Marino,,Marc Logan,,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,4,4,NWE 14,0,3,Pete Stoyanovich 31 yard field goal good,2.580,3.000,field_goal,,,,,,,,Pete Stoyanovich,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,,,MIA 35,0,3,"Pete Stoyanovich kicks off 65 yards, returned by Sammy Martin for 20 yards (tackle by Liffort Hobley)",0.000,-0.280,kickoff,,,,,,,,Pete Stoyanovich,Sammy Martin,,Liffort Hobley,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,10:44,1,10,NWE 20,0,3,John Stephens right for 1 yard (tackle by T.J. Turner),0.280,-0.130,run,,,John Stephens,,,,,,,,T.J. Turner,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,9,NWE 21,0,3,John Stephens middle for 4 yards (tackle by Alfred Oglesby),-0.130,-0.300,run,,,John Stephens,,,,,,,,Alfred Oglesby,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,3,5,NWE 25,0,3,Steve Grogan pass incomplete intended for Hart Lee Dykes,-0.300,-1.700,pass,,Steve Grogan,,Hart Lee Dykes,,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,4,5,NWE 25,0,3,"Brian Hansen punts 43 yards, returned by Tony Martin for 10 yards (tackle by Danny Villa)",-1.700,-1.730,punt,,,,,,,Brian Hansen,,Tony Martin,,Danny Villa,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,9:04,1,10,MIA 42,0,3,Sammie Smith right for 4 yards (tackle by Fred Marion),1.730,1.730,run,,,Sammie Smith,,,,,,,,Fred Marion,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,6,MIA 46,0,3,Dan Marino pass complete to Ferrell Edmunds for 7 yards (tackle by Roland James),1.730,2.460,pass,,Dan Marino,,Ferrell Edmunds,,,,,,,Roland James,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 47,0,3,Sammie Smith right for 4 yards (tackle by Vincent Brown),2.460,2.450,run,,,Sammie Smith,,,,,,,,Vincent Brown,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,6,NWE 43,0,3,Dan Marino pass complete to Mark Duper for 13 yards (tackle by Ronnie Lippett),2.450,3.580,pass,,Dan Marino,,Mark Duper,,,,,,,Ronnie Lippett,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 30,0,3,Sammie Smith right end for 3 yards (tackle by Tim Goad),3.580,3.440,run,,,Sammie Smith,,,,,,,,Tim Goad,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,7,NWE 27,0,3,Dan Marino pass complete to Tony Martin for 9 yards (tackle by Maurice Hurst),3.440,4.370,pass,,Dan Marino,,Tony Martin,,,,,,,Maurice Hurst,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 18,0,3,Sammie Smith middle for 4 yards (tackle by Ed Reynolds),4.370,4.430,run,,,Sammie Smith,,,,,,,,Ed Reynolds,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,6,NWE 14,0,3,Dan Marino pass incomplete intended for Mark Duper,4.430,3.630,pass,,Dan Marino,,Mark Duper,,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,3,6,NWE 14,0,3,Dan Marino pass intended for Marc Logan is intercepted by Ronnie Lippett at NE5 and returned for 73 yards,3.630,-4.110,pass,,Dan Marino,,Marc Logan,Ronnie Lippett,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,4:08,1,10,MIA 22,0,3,"Steve Grogan pass complete to Irving Fryar for 22 yards, touchdown",4.110,7.000,pass,,Steve Grogan,,Irving Fryar,,,,,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,,,,7,3,Jason Staurovsky kicks extra point good,0.000,0.000,extra_point,,,,,,,,Jason Staurovsky,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,,,NWE 35,7,3,"Jason Staurovsky kicks off 65 yards, touchback.",0.000,-0.280,kickoff,,,,,,,,Jason Staurovsky,,,,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,3:48,1,10,MIA 20,7,3,Dan Marino pass complete to Tony Paige for 9 yards (tackle by Ed Reynolds),0.280,0.950,pass,,Dan Marino,,Tony Paige,,,,,,,Ed Reynolds,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,2,1,MIA 29,7,3,Dan Marino pass complete to Tony Paige for 15 yards (tackle by Maurice Hurst),0.950,1.860,pass,,Dan Marino,,Tony Paige,,,,,,,Maurice Hurst,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,MIA 44,7,3,Sammie Smith left end for 12 yards (tackle by Fred Marion),1.860,2.650,run,,,Sammie Smith,,,,,,,,Fred Marion,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 44,7,3,Dan Marino pass complete to Fred Banks for 15 yards (tackle by Ronnie Lippett),2.650,3.640,pass,,Dan Marino,,Fred Banks,,,,,,,Ronnie Lippett,,,,
1990,1,September 9,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/199009090nwe.htm,1,,1,10,NWE 29,7,3,Sammie Smith left tackle for 4 yards (tackle by Ed Reynolds),3.640,3.640,run,,,Sammie Smith,,,,,,,,Ed Reynolds,,,,
