season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,15:00,,,NE 35,0,0,"7-J.Bailey kicks 65 yards from NE 35 to end zone, Touchback.",0.770,0.000
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,15:00,1,10,MIA 25,0,0,"(15:00) 34-J.Howard right guard to MIA 29 for 4 yards (51-J.Bentley, 52-B.Copeland).",0.770,0.011
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,14:30,2,6,MIA 29,0,0,(14:30) 34-J.Howard up the middle to MIA 31 for 2 yards (93-L.Guy).,0.781,-0.589
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,13:51,3,4,MIA 31,0,0,(13:51) (Shotgun) 14-R.Fitzpatrick pass short right to 11-D.Parker to MIA 34 for 3 yards (24-S.Gilmore) [55-J.Simon].,0.192,-0.873
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,13:06,4,1,MIA 34,0,0,"(13:06) 2-M.Haack punts 45 yards to NE 21, Center-50-B.Ferguson. 10-D.Byrd MUFFS catch, touched at NE 22, recovered by NE-27-J.Jackson at NE 20. 27-J.Jackson to NE 20 for no gain (43-A.Van Ginkel).",-0.681,-0.364
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,12:55,1,10,NE 20,0,0,(12:55) 71-M.Onwenu reported in as eligible.  26-S.Michel left guard to NE 27 for 7 yards (55-J.Baker).,1.045,0.388
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,12:15,2,3,NE 27,0,0,(12:15) (Shotgun) 1-C.Newton up the middle to NE 37 for 10 yards (53-K.Van Noy).,1.433,0.807
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,11:39,1,10,NE 37,0,0,(11:39) (Shotgun) 1-C.Newton left end to NE 42 for 5 yards (43-A.Van Ginkel).,2.240,-0.013
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,11:01,2,5,NE 42,0,0,"(11:01) 26-S.Michel up the middle to NE 46 for 4 yards (43-A.Van Ginkel, 55-J.Baker). measurement",2.227,0.194
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,10:27,3,1,NE 46,0,0,"(10:27) 71-M.Onwenu reported in as eligible.  26-S.Michel left guard to NE 48 for 2 yards (29-Br.Jones, 24-By.Jones).",2.421,0.492
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,09:49,1,10,NE 48,0,0,(9:49) 1-C.Newton pass incomplete deep middle to 11-J.Edelman (28-B.McCain).,2.913,-0.515
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,09:43,2,10,NE 48,0,0,(9:43) 1-C.Newton sacked at NE 39 for -9 yards (55-J.Baker).,2.397,-1.925
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,09:03,3,19,NE 39,0,0,(9:03) (Shotgun) 1-C.Newton pass short left to 28-J.White to NE 49 for 10 yards (51-K.Grugier-Hill) [90-S.Lawson].,0.472,-0.521
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,08:20,4,9,NE 49,0,0,"(8:20) 7-J.Bailey punts 40 yards to MIA 11, Center-49-J.Cardona, downed by NE-22-C.Davis.",-0.049,0.179
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,08:07,1,10,MIA 11,0,0,(8:07) (Shotgun) 14-R.Fitzpatrick pass short middle to 11-D.Parker to MIA 23 for 12 yards (31-J.Jones).,-0.130,0.698
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,07:35,1,10,MIA 23,0,0,"(7:35) (Shotgun) 34-J.Howard up the middle to MIA 25 for 2 yards (50-C.Winovich, 52-B.Copeland).",0.568,-0.313
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,06:51,2,8,MIA 25,0,0,"(6:51) (Shotgun) 14-R.Fitzpatrick to MIA 20 for -5 yards. FUMBLES, and recovers at MIA 20. 14-R.Fitzpatrick pass short left to 32-P.Laird to MIA 31 for 6 yards (21-A.Phillips, 55-J.Simon).",0.255,0.272
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,06:13,3,2,MIA 31,0,0,(6:13) (Shotgun) 14-R.Fitzpatrick pass short right to 37-M.Gaskin pushed ob at MIA 44 for 13 yards (21-A.Phillips) [91-D.Wise].,0.527,1.565
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,05:57,1,10,MIA 44,0,0,"(5:57) 34-J.Howard left guard to MIA 45 for 1 yard (50-C.Winovich, 51-J.Bentley).",2.092,-0.484
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,05:11,2,9,MIA 45,0,0,(5:11) 34-J.Howard up the middle to MIA 42 for -3 yards (50-C.Winovich).,1.608,-1.332
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,04:37,3,12,MIA 42,0,0,(4:37) (Shotgun) 14-R.Fitzpatrick pass incomplete short right to 84-I.Ford.,0.276,-1.213
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,04:31,4,12,MIA 42,0,0,"(4:31) 2-M.Haack punts 58 yards to end zone, Center-50-B.Ferguson, Touchback.",-0.937,0.012
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,04:23,1,10,NE 20,0,0,"(4:23) 34-R.Burkhead left tackle to NE 25 for 5 yards (56-D.Godchaux, 29-Br.Jones).",0.925,0.119
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,03:49,2,5,NE 25,0,0,"(3:49) 34-R.Burkhead up the middle to NE 29 for 4 yards (33-J.Perry, 21-E.Rowe).",1.044,0.361
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,03:11,3,1,NE 29,0,0,"(3:11) (Shotgun) 71-M.Onwenu reported in as eligible.  26-S.Michel left tackle to NE 31 for 2 yards (44-E.Roberts, 55-J.Baker).",1.406,0.330
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,02:31,1,10,NE 31,0,0,(2:31) 1-C.Newton pass short left to 85-R.Izzo to MIA 44 for 25 yards (28-B.McCain).,1.735,1.501
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,01:52,1,10,MIA 44,0,0,(1:52) (Shotgun) 34-R.Burkhead left end to MIA 29 for 15 yards (28-B.McCain).,3.237,0.970
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,01:15,1,10,MIA 29,0,0,(1:15) 34-R.Burkhead up the middle to MIA 30 for -1 yards (56-D.Godchaux).,4.206,-0.889
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,1,00:38,2,11,MIA 30,0,0,(:38) (Shotgun) 1-C.Newton pass short left to 15-N.Harry pushed ob at MIA 24 for 6 yards (33-J.Perry).,3.317,0.462
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,2,15:00,3,5,MIA 24,0,0,(15:00) (Shotgun) 1-C.Newton up the middle to MIA 17 for 7 yards (29-Br.Jones).,3.779,1.136
2020,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/202009130nwe.htm,2,14:18,1,10,MIA 17,0,0,"(14:18) (Shotgun) 1-C.Newton pass short left to 11-J.Edelman to MIA 11 for 6 yards (29-Br.Jones). NE 11- Edelman 600th career rec, 2nd in franchise history (Welker 672).",4.915,0.138
