season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,15:00,,,KC 35,0,0,"5-C.Santos kicks 64 yards from KC 35 to NE 1. 33-D.Lewis to NE 27 for 26 yards (57-K.Pierre-Louis, 84-D.Harris).",1.457,0.109
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,14:55,1,10,NE 27,0,0,"(14:55) NE 12-Brady 18th season as Patriots QB, new NFL record for most seasons as QB with one team (Marino & Brodie, 17). 12-T.Brady pass incomplete deep left to 83-D.Allen.",1.567,-0.513
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,14:49,2,10,NE 27,0,0,(14:49) 12-T.Brady pass short right to 34-R.Burkhead pushed ob at NE 35 for 8 yards (38-R.Parker).,1.054,0.390
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,14:14,3,2,NE 35,0,0,"(14:14) (Shotgun) 28-J.White left guard to NE 43 for 8 yards (38-R.Parker, 56-D.Johnson).",1.444,1.168
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,13:52,1,10,NE 43,0,0,"(13:52) (No Huddle, Shotgun) 28-J.White up the middle to NE 46 for 3 yards (29-E.Berry).",2.612,-0.156
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,13:26,2,7,NE 46,0,0,"(13:26) (No Huddle, Shotgun) 12-T.Brady pass deep left to 14-B.Cooks to KC 35 for 19 yards (23-P.Gaines).",2.456,1.489
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,13:02,1,10,KC 35,0,0,"(13:02) (No Huddle) 28-J.White left tackle to KC 30 for 5 yards (55-D.Ford, 56-D.Johnson).",3.945,-0.039
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:35,2,5,KC 30,0,0,"(12:35) (No Huddle, Shotgun) 12-T.Brady pass short left to 80-D.Amendola pushed ob at KC 14 for 16 yards (23-P.Gaines).",3.905,1.134
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:24,1,10,KC 14,0,0,"(12:24) (No Huddle) 12-T.Brady pass incomplete short left to 14-B.Cooks. PENALTY on KC-39-T.Mitchell, Defensive Pass Interference, 12 yards, enforced at KC 14 - No Play.",5.039,1.309
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:21,1,2,KC 2,0,0,"(12:21) 77-N.Solder reported in as eligible.  35-M.Gillislee right tackle for 2 yards, TOUCHDOWN NULLIFIED by Penalty. Penalty on NE-77-N.Solder, Offensive Holding, offsetting, enforced at KC 2 - No Play. Penalty on KC-97-A.Bailey, Defensive Holding, offsetting.",6.348,0.001
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:17,1,2,KC 2,0,0,(12:17) 77-N.Solder reported in as eligible.  12-T.Brady pass incomplete short right to 87-R.Gronkowski.,6.349,-0.398
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:12,2,2,KC 2,6,0,"(12:12) 77-N.Solder reported in as eligible.  35-M.Gillislee up the middle for 2 yards, TOUCHDOWN.",5.951,1.049
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:08,,,KC 15,7,0,"3-S.Gostkowski extra point is GOOD, Center-49-J.Cardona, Holder-6-R.Allen.",0.932,0.068
2017,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/201709070nwe.htm,1,12:08,,,NE 35,7,0,"3-S.Gostkowski kicks 65 yards from NE 35 to end zone, Touchback.",0.759,0.000
