season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,15:00,,,KC 30,0,0,"9-N.Novak kicks 67 yards from KC 30 to NE 3. 27-E.Hobbs to NE 22 for 19 yards (52-E.Walden, 26-J.Battle).",0.814,0.050
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,14:54,1,10,NE 22,0,0,(14:54) (Shotgun) 12-T.Brady pass short right to 86-D.Thomas to NE 28 for 6 yards (55-P.Thomas).,0.864,0.433
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,14:27,2,4,NE 28,0,0,(14:27) (Shotgun) 12-T.Brady pass short left to 83-W.Welker to NE 38 for 10 yards (24-B.Flowers).,1.297,0.820
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,13:53,1,10,NE 38,0,0,(13:53) (Shotgun) 12-T.Brady pass incomplete short right to 83-W.Welker.,2.117,-0.465
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,13:50,2,10,NE 38,0,0,"(13:50) (Shotgun) 12-T.Brady pass short middle to 81-R.Moss to NE 45 for 7 yards (53-D.Williams, 24-B.Flowers).",1.652,0.079
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,13:09,3,3,NE 45,0,0,(13:09) (Shotgun) 12-T.Brady pass incomplete short left to 83-W.Welker.,1.731,-1.705
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,13:05,4,3,NE 45,0,0,"(13:05) (Punt formation) 6-C.Hanson punts 29 yards to KC 26, Center-66-L.Paxton, fair catch by 30-B.Sams. PENALTY on KC-24-B.Flowers, Running Into the Kicker, 5 yards, enforced at NE 45 - No Play.",0.026,2.882
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,12:58,1,10,MID 50,0,0,(12:58) (Shotgun) 12-T.Brady pass short left to 83-W.Welker to KC 38 for 12 yards (55-P.Thomas).,2.908,0.698
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,12:23,1,10,KC 38,0,0,"(12:23) (No Huddle, Shotgun) 12-T.Brady pass incomplete deep left to 10-J.Gaffney.",3.606,-0.500
2008,1,September 7,home,Kansas City Chiefs,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,1,12:18,2,10,KC 38,0,0,"(12:18) (No Huddle) 12-T.Brady pass short right to 83-W.Welker to KC 40 for -2 yards (23-P.Surtain). FUMBLES (23-P.Surtain), RECOVERED by KC-44-J.Page at KC 40. 44-J.Page pushed ob at KC 48 for 8 yards (81-R.Moss).",3.107,-5.215
