season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa,play_type,two_point_attempt,passer,rusher,receiver,interceptor,sacker,punter,kicker,returner,blocker,tackler_1,tackler_2,forced_fumble_player,fumble_recovery_player,penalized_player
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,,,,,,,,"Patriots won the coin toss, Broncos to receive the opening kickoff.",,,other,,,,,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,15:00,,,NWE 30,0,0,"Adam Vinatieri kicks off 73 yards, returned by Derek Loville for 21 yards (tackle by Larry Whigham)",0.000,-0.040,kickoff,,,,,,,,Adam Vinatieri,Derek Loville,,Larry Whigham,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,1,10,DEN 18,0,0,John Elway pass complete to Ed McCaffrey for 44 yards (tackle by Chris Canty),0.040,3.050,pass,,John Elway,,Ed McCaffrey,,,,,,,Chris Canty,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,1,10,NWE 38,0,0,John Elway pass complete to Shannon Sharpe for 5 yards (tackle by Chris Slade),3.050,3.180,pass,,John Elway,,Shannon Sharpe,,,,,,,Chris Slade,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,2,5,NWE 33,0,0,Terrell Davis left end for -1 yards (tackle by Ferric Collons),3.180,2.340,run,,,Terrell Davis,,,,,,,,Ferric Collons,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,3,6,NWE 34,0,0,John Elway pass incomplete intended for Shannon Sharpe,2.340,1.070,pass,,John Elway,,Shannon Sharpe,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,4,6,NWE 34,0,3,Jason Elam 53 yard field goal good,1.070,3.000,field_goal,,,,,,,,Jason Elam,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,12:31,,,DEN 30,0,3,"Jason Elam kicks off 70 yards, returned by Derrick Cullors for 68 yards (tackle by Tory James)",0.000,-3.450,kickoff,,,,,,,,Jason Elam,Derrick Cullors,,Tory James,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,1,10,DEN 32,0,3,Drew Bledsoe pass incomplete intended for Terry Glenn,3.450,2.900,pass,,Drew Bledsoe,,Terry Glenn,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,2,10,DEN 32,0,3,Drew Bledsoe pass complete to Troy Brown for 5 yards (tackle by Eric Brown and Keith Traylor),2.900,2.870,pass,,Drew Bledsoe,,Troy Brown,,,,,,,Eric Brown,Keith Traylor,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,3,5,DEN 27,0,3,Drew Bledsoe pass complete to Troy Brown for 8 yards (tackle by Tyrone Braxton),2.870,4.310,pass,,Drew Bledsoe,,Troy Brown,,,,,,,Tyrone Braxton,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,1,10,DEN 19,0,3,Sedrick Shaw right tackle for 1 yard (tackle by Eric Brown and Bill Romanowski),4.310,3.880,run,,,Sedrick Shaw,,,,,,,,Eric Brown,Bill Romanowski,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,2,9,DEN 18,0,3,"Penalty on NWE: Illegal Substitution, 5 yards (accepted)",3.880,3.220,penalty,,,,,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,2,14,DEN 23,0,3,Sedrick Shaw left end for 1 yard (tackle by Trevor Pryce and Keith Traylor),3.220,2.680,run,,,Sedrick Shaw,,,,,,,,Trevor Pryce,Keith Traylor,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,3,13,DEN 22,0,3,Drew Bledsoe pass incomplete intended for Terry Glenn,2.680,1.990,pass,,Drew Bledsoe,,Terry Glenn,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,4,13,DEN 22,0,3,Adam Vinatieri 39 yard field goal no good,1.990,-0.940,field_goal,,,,,,,,Adam Vinatieri,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,9:22,1,10,DEN 30,0,3,John Elway pass complete to Ed McCaffrey for 3 yards (tackle by Chris Canty),0.940,0.800,pass,,John Elway,,Ed McCaffrey,,,,,,,Chris Canty,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,2,7,DEN 33,0,3,Terrell Davis left tackle for 3 yards (tackle by Todd Collins and Henry Thomas),0.800,0.500,run,,,Terrell Davis,,,,,,,,Todd Collins,Henry Thomas,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,3,4,DEN 36,0,3,John Elway pass incomplete intended for Ed McCaffrey,0.500,-0.980,pass,,John Elway,,Ed McCaffrey,,,,,,,,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,,4,4,DEN 36,0,3,"Tom Rouen punts 43 yards, returned by Troy Brown for -2 yards (tackle by Tito Paul)",-0.980,-0.150,punt,,,,,,,Tom Rouen,,Troy Brown,,Tito Paul,,,,
1998,1,September 7,away,Denver Broncos,https://www.pro-football-reference.com/boxscores/199809070den.htm,1,7:57,1,10,NWE 19,0,3,"Drew Bledsoe right end for 9 yards. Penalty on Max Lane: Defensive Holding, 9 yards (accepted) (tackle by Steve Atwater) (no play)",0.150,-0.720,no_play,,,,,,,,,,,Steve Atwater,,,,
