season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,,,,,,,,"Chargers won the coin toss, Patriots to receive the opening kickoff.",,
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,15:00,,,SDG 30,0,0,"John Carney kicks off 72 yards, returned by Dave Meggett for 29 yards (tackle by Paul Bradford and Aaron Craver)",0.000,-0.740
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,10,NWE 27,0,0,Drew Bledsoe pass complete to Curtis Martin for 4 yards (tackle by Lewis Bush and John Parrella),0.740,0.740
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,6,NWE 31,0,0,Drew Bledsoe pass complete to Terry Glenn for 9 yards (tackle by Rodney Harrison),0.740,1.600
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,10,NWE 40,0,0,Curtis Martin left end for 4 yards (tackle by Shawn Lee),1.600,1.590
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,6,NWE 44,0,0,Curtis Martin middle for 1 yard (tackle by Kurt Gouveia),1.590,1.030
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,3,5,NWE 45,0,0,Drew Bledsoe pass complete to Terry Glenn for 40 yards (tackle by Mark Montreuil),1.030,4.580
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,10,SDG 15,0,0,Curtis Martin right end for 1 yard (tackle by Mike Dumas),4.580,4.110
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,9,SDG 14,0,0,Drew Bledsoe pass complete to Ben Coates for 9 yards (tackle by Rodney Harrison and Terrance Shaw),4.110,6.060
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,5,SDG 5,0,0,Curtis Martin left guard for 1 yard (tackle by Shawn Lee and Patrick Sapp),6.060,5.340
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,4,SDG 4,0,0,Drew Bledsoe pass incomplete intended for Troy Brown,5.340,4.490
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,3,4,SDG 4,6,0,"Drew Bledsoe pass complete to Ben Coates for 4 yards, touchdown",4.490,7.000
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,9:59,,,,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,,,NWE 30,7,0,"Adam Vinatieri kicks off 67 yards, returned by Latario Rachal for 29 yards (tackle by Vernon Crawford and Marrio Grier)",0.000,-1.070
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,10,SDG 32,7,0,Gary Brown left end for -1 yards (tackle by Todd Collins),1.070,0.390
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,11,SDG 31,7,0,Stan Humphries pass incomplete intended for Tony Martin,0.390,-0.290
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,3,11,SDG 31,7,0,Stan Humphries pass incomplete intended for Tony Martin,-0.290,-1.310
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,4,11,SDG 31,7,0,Darren Bennett punts 66 yards,-1.310,0.380
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,8:54,1,10,NWE 3,7,0,Drew Bledsoe pass complete to Troy Brown for 7 yards (tackle by Lewis Bush and Kurt Gouveia),-0.380,-0.270
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,3,NWE 10,7,0,Curtis Martin middle for 1 yard (tackle by Marco Coleman),-0.270,-0.480
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,3,2,NWE 11,7,0,Drew Bledsoe pass complete to Curtis Martin for 5 yards (tackle by Lewis Bush),-0.480,-0.140
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,1,10,NWE 16,7,0,Curtis Martin right tackle for 3 yards (tackle by William Fuller),-0.140,-0.180
1997,1,August 31,home,San Diego Chargers,https://www.pro-football-reference.com/boxscores/199708310nwe.htm,1,,2,7,NWE 19,7,0,Drew Bledsoe pass incomplete intended for Shawn Jefferson,-0.180,-0.950
