season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,,,,,,,,"Dolphins won the coin toss, Patriots to receive the opening kickoff.",,
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,15:00,,,MIA 35,0,0,"Fuad Reveiz kicks off 61 yards, returned by Stephen Starring for 18 yards (tackle by Larry Kolic)",0.000,-0.410
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,1,10,NWE 22,0,0,Tony Collins left for 4 yards (tackle by T.J. Turner),0.410,0.410
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,2,6,NWE 26,0,0,Tony Collins middle for 2 yards (tackle by T.J. Turner),0.410,-0.030
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,3,4,NWE 28,0,0,"Steve Grogan scrambles middle for 7 yards. Penalty on Paul Fairchild: Offensive Holding, 10 yards (accepted) (no play)",-0.030,-1.490
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,3,14,NWE 18,0,0,Tony Collins right end for 4 yards (tackle by David Frye),-1.490,-1.900
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,4,10,NWE 22,0,0,"Rich Camarillo punts 35 yards (tackle by Rich Camarillo), returned by Scott Schwedes for 31 yards",-1.900,-3.840
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,12:21,1,10,NWE 26,0,0,Lorenzo Hampton middle for 7 yards (tackle by Don Blackmon),3.840,4.270
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,2,3,NWE 19,0,0,Lorenzo Hampton middle for 10 yards (tackle by Ronnie Lippett),4.270,5.140
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,1,9,NWE 9,0,6,"Dan Marino pass complete to Mark Duper for 9 yards, touchdown",5.140,7.000
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,,,,0,7,Fuad Reveiz kicks extra point good,0.000,0.000
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,10:59,,,MIA 35,0,7,"Fuad Reveiz kicks off 54 yards, returned by Stephen Starring for 18 yards (tackle by Joel Williams)",0.000,-0.870
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,1,10,NWE 29,0,7,"Penalty on Sean Farrell: False Start, 5 yards (accepted)",0.870,0.540
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,1,15,NWE 24,0,7,Steve Grogan pass complete to Stanley Morgan for 16 yards (tackle by Bob Brudzinski),0.540,1.600
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,1,10,NWE 40,0,7,Steve Grogan scrambles left end for 8 yards (tackle by Bud Brown),1.600,2.130
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,2,2,NWE 48,0,7,Mosi Tatupu middle for 1 yard (tackle by Mark Brown),2.130,1.550
1987,1,September 13,home,Miami Dolphins,https://www.pro-football-reference.com/boxscores/198709130nwe.htm,1,,3,1,NWE 49,0,7,Tony Collins right for 19 yards (tackle by Bud Brown),1.550,3.450
