Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,224.0,90.0,40.2%,11.0,7.0,63.6%,50.0,25.0,50.0%
Opp. Stats,221.0,72.0,32.6%,24.0,14.0,58.3%,40.0,14.0,35.0%
Lg Rank Offense,,,11,,,5,,,13
Lg Rank Defense,,,2,,,19,,,5
