Unnamed: 0_level_0,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
Player,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Team Stats,201.0,64.0,31.8%,15.0,7.0,46.7%,40.0,26.0,65.0%
Opp. Stats,216.0,92.0,42.6%,12.0,4.0,33.3%,53.0,33.0,62.3%
Lg Rank Offense,,,29,,,21,,,6
Lg Rank Defense,,,25,,,5,,,26
