Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Matthew Stafford,26.0,QB,1,1,0-1-0,28,42,66.7,323,1,2.4,1,2.4,14,44.4,51,7.7,7.1,11.5,323.0,87.7,3,16,6.67,6.82,6.27,0,0,
,Team Totals,,,1,1,0-1-0,28,42,66.7,307,1,2.4,1,2.4,14,44.4,51,7.7,7.1,11.5,307.0,87.7,3,16,6.67,6.82,6.27,0,0,
