Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Jared Goff,31.0,QB,7,7,5-2-0,152,203,74.9,1631,15,7.4,3,1.5,83,53.7,64,8.0,8.85,10.7,233.0,116.4,66.7,13,69,6.02,7.23,8.0,0,1,
2.0,David Montgomery,28.0,RB,7,0,,1,1,100.0,3,1,100.0,0,0.0,1,100.0,3,3.0,23.0,3.0,0.4,118.7,99.7,0,0,0.0,3.0,23.0,0,0,
,Team Totals,,,7,7,5-2-0,153,204,75.0,1565,16,7.8,3,1.5,84,53.9,64,8.0,8.92,10.7,223.6,118.0,,13,69,5.99,7.21,8.06,0,1,
