Rk,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Aaron Rodgers,32.0,QB,16,16,10-6-0,347,572,60.7,3821,31,5.4,8,1.4,177,43.0,65,6.7,7.13,11.0,238.8,92.7,60.0,46,314,7.44,5.67,6.1,2,2,PB
2.0,Scott Tolzien,28.0,QB,3,0,,1,1,100.0,4,0,0.0,0,0.0,0,,4,4.0,4.0,4.0,1.3,83.3,0.1,1,8,50.0,-2.0,-2.0,0,0,
,Team Totals,,,16,16,10-6-0,348,573,60.7,3503,31,5.4,8,1.4,177,42.9,65,6.7,7.13,11.0,218.9,92.7,,47,322,7.58,5.65,6.07,2,2,
