Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 6_level_0,Unnamed: 7_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,234,4942,1008.0,4.9,41,13,290,312.0,574,3228,15,28,5.2,157.0,384,1714,11,4.5,97.0,110.0,924.0,36.0,186.0,22.0,21.0,Own 26.5,2:26,5.53,26.5,1.22
Opp. Stats,410,5250,1026.0,5.1,13,6,315,360.0,525,3684,28,7,6.6,189.0,467,1566,14,3.4,95.0,101.0,906.0,31.0,188.0,36.2,6.9,Own 30.5,2:47,5.6,27.8,2.0
Lg Rank Offense,32,24,,,32,28,22,,9,22,28,32,30.0,,28,18,19,6.0,,,,,,32.0,1.0,28,28,19.0,23.0,31.0
Lg Rank Defense,31,14,,,32,23,18,,8,19,26,31,26.0,,28,7,22,2.0,,,,,,11.0,32.0,31,23,16.0,9.0,27.0
