Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 6_level_0,Unnamed: 7_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,427,5852,998.0,5.9,30,15,328,418.0,630,4674,31,15,7.1,231.0,340,1178,14,3.5,72.0,107.0,781.0,25.0,178.0,39.3,15.7,Own 30.8,2:43,5.76,32.9,2.19
Opp. Stats,426,5304,993.0,5.3,30,17,312,323.0,517,3540,36,13,6.5,172.0,445,1764,13,4.0,117.0,98.0,816.0,23.0,181.0,38.7,15.5,Own 32.9,2:38,5.6,29.2,2.24
Lg Rank Offense,3,4,,,24,30,6,,2,2,3,16,6.0,,32,32,18,31.0,,,,,,7.0,8.0,14,15,11.0,7.0,6.0
Lg Rank Defense,28,19,,,5,1,22,,16,22,32,17,24.0,,19,16,13,11.0,,,,,,8.0,6.0,30,13,18.0,17.0,28.0
